"filename", "language", "JavaScript", "XML", "JSON", "JavaScript JSX", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Process.css", "PostCSS", 0, 0, 0, 0, 65, 0, 0, 0, 14, 79
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Process.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 0, 6, 3, 97
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Reviews.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Reviews.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Slider.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Slider.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Testimonial.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 9, 67
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Videos.css", "PostCSS", 0, 0, 0, 0, 83, 0, 0, 0, 16, 99
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/components/Videos.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 1, 6, 56
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/data.js", "JavaScript", 158, 0, 0, 0, 0, 0, 0, 0, 21, 179
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/index.css", "PostCSS", 0, 0, 0, 0, 26, 0, 0, 11, 7, 44
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 3, 4, 20
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/About.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/About.jsx", "JavaScript JSX", 0, 0, 0, 47, 0, 0, 0, 1, 5, 53
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Contact.css", "PostCSS", 0, 0, 0, 0, 138, 0, 0, 3, 29, 170
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Contact.jsx", "JavaScript JSX", 0, 0, 0, 80, 0, 0, 0, 0, 10, 90
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Error.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Error.jsx", "JavaScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/FAQs.css", "PostCSS", 0, 0, 0, 0, 43, 0, 0, 0, 9, 52
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/FAQs.jsx", "JavaScript JSX", 0, 0, 0, 51, 0, 0, 0, 1, 6, 58
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Gallery.css", "PostCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Gallery.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Home.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Home.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 5, 3, 36
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Photography.css", "PostCSS", 0, 0, 0, 0, 50, 0, 0, 2, 8, 60
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Photography.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 1, 6, 34
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Pricing.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/Pricing.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 0, 11, 74
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/TermsOfService.css", "PostCSS", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/pages/TermsOfService.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 3, 38
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/frimpomaa/FusionHub/Personal/The-Kwame-Inc-Site/tailwind.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 0, 11
"Total", "-", 435, 1, 31018, 1095, 1340, 20, 38, 102, 501, 34550
